id,bank_name,country,domain,port,ip,reachable,tls_version,cipher_suite,key_exchange_group,key_exchange_class,pqc_status,pqc_key_exchange,pqc_signature,is_hybrid,pqc_confidence,certificate_subject,certificate_issuer,certificate_signature_algorithm,certificate_public_key_algorithm,certificate_public_key_size,certificate_not_after,certificate_days_remaining,certificate_expired,certificate_self_signed,certificate_sha256,hsts,risk_score,risk_grade,findings,recommendation,scan_timestamp
1,HDFC Bank,IN,hdfcbank.com,443,104.18.147.40,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.hdfc.bank.in,GeoTrust TLS RSA CA G1,sha256WithRSAEncryption (estimated),RSA,2048,Jan 15 23:59:59 2027 GMT,146,False,False,26df22acf0fd768c68bc4d96ef49248002a292f0505cdfbe887221dd390fef5b,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:33:24Z
2,ICICI Bank,IN,icicibank.com,443,20.204.105.107,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,icicibank.com,Sectigo Public Server Authentication CA OV R36,sha256WithRSAEncryption (estimated),RSA,2048,Dec 20 23:59:59 2026 GMT,120,False,False,0d199faf375076c01fcdb2f55d5bea052229eb047ba78cc1aac8e83ae18d9a5d,False,95,A+,🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:33:26Z
3,State Bank of India,IN,sbi.co.in,443,192.12.109.196,True,TLSv1.3,TLS_AES_128_GCM_SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.sbi.co.in,Entrust DV TLS Issuing RSA CA 2,sha256WithRSAEncryption (estimated),RSA,2048,Dec 31 23:59:59 2026 GMT,131,False,False,b3bd002fd1c92478a4c9e4149a4051957884b3160020db483bd94c4ede751853,False,95,A+,🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:33:28Z
4,Axis Bank,IN,axisbank.com,443,23.41.36.19,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.axisbank.com,GeoTrust TLS RSA CA G1,sha256WithRSAEncryption (estimated),RSA,2048,Jan 15 23:59:59 2027 GMT,146,False,False,3ed79d9ff875f0b3daf09bf817e4ae7cb4391804e3dbf414bf369d537734f4e0,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:33:30Z
5,Kotak Mahindra Bank,IN,kotak.com,443,203.196.200.28,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.kotak.bank.in,Sectigo Public Server Authentication CA OV R36,sha256WithRSAEncryption (estimated),RSA,2048,Oct 14 23:59:59 2026 GMT,53,False,False,2a7b56e44449e99fa220df02ed1c925c5dc0f6c793fb3ea644891940e3db90a2,False,87,A,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:33:48Z
6,IndusInd Bank,IN,indusind.com,443,159.60.131.186,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,indusind.com,Sectigo Public Server Authentication CA OV R36,sha256WithRSAEncryption (estimated),RSA,2048,Oct 15 23:59:59 2026 GMT,54,False,False,621de9a3fe6373a5f35eb60b43c264d37740f6e4668e944dccfaa3dd33f68ada,False,95,A+,🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:33:49Z
7,Yes Bank,IN,yesbank.in,443,23.58.144.138,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,yesbank.in,DigiCert Global G3 TLS ECC SHA384 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Feb  8 23:59:59 2027 GMT,170,False,False,888d0d0ec1c2679a675ee93abc4863285d5daa7bd1aebbd1af4e32ffc0d6acc8,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:33:51Z
8,Bank of Baroda,IN,bankofbaroda.in,443,103.104.75.43,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.bankofbaroda.in,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption (estimated),RSA,2048,Jan  9 07:41:25 2027 GMT,140,False,False,09c9bb3143f010361acac928e5f334f57f813570d1ad0fe787d62a321c052cab,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:33:53Z
9,Punjab National Bank,IN,pnbindia.in,443,49.50.96.20,True,TLSv1.3,TLS_AES_128_GCM_SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,pnbindia.in,GlobalSign GCC R3 EV TLS CA 2025,sha256WithRSAEncryption (estimated),RSA,2048,Dec  6 06:31:29 2026 GMT,106,False,False,a6617bd58a4408cf500e0fb7091e7ceffc000e345ae07cf12fb07c4548952fd6,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:33:54Z
10,Canara Bank,IN,canarabank.com,443,166.117.135.230,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,canarabank.com,GlobalSign GCC R3 EV TLS CA 2025,sha256WithRSAEncryption (estimated),RSA,2048,Oct  1 07:36:25 2026 GMT,40,False,False,8e7e602ff45a2ba3bdefb3e26b8c02ad09f03c7ee761c113e711f70ff6a49beb,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:33:56Z
