id,organization,category,country,domain,port,confidence_note,asset_type
1,Goldman Sachs,Banking/Financial,US,gs.com,443,HIGH,PUBLIC_WEBSITE
2,Morgan Stanley,Banking/Financial,US,morganstanley.com,443,HIGH,PUBLIC_WEBSITE
3,BlackRock,Banking/Financial,US,blackrock.com,443,HIGH,PUBLIC_WEBSITE
4,Fidelity Investments,Banking/Financial,US,fidelity.com,443,HIGH,PUBLIC_WEBSITE
5,Charles Schwab,Banking/Financial,US,schwab.com,443,HIGH,PUBLIC_WEBSITE
6,Vanguard,Banking/Financial,US,vanguard.com,443,HIGH,PUBLIC_WEBSITE
7,Discover,Banking/Financial,US,discover.com,443,HIGH,PUBLIC_WEBSITE
8,Ally Bank,Banking/Financial,US,ally.com,443,HIGH,PUBLIC_WEBSITE
9,Synchrony,Banking/Financial,US,synchrony.com,443,HIGH,PUBLIC_WEBSITE
10,State Street,Banking/Financial,US,statestreet.com,443,HIGH,PUBLIC_WEBSITE
11,Northern Trust,Banking/Financial,US,northerntrust.com,443,HIGH,PUBLIC_WEBSITE
12,Edward Jones,Banking/Financial,US,edwardjones.com,443,HIGH,PUBLIC_WEBSITE
13,Raymond James,Banking/Financial,US,raymondjames.com,443,HIGH,PUBLIC_WEBSITE
14,Lazard,Banking/Financial,US,lazard.com,443,HIGH,PUBLIC_WEBSITE
15,Nomura,Banking/Financial,JP,nomura.com,443,HIGH,PUBLIC_WEBSITE
16,Rabobank,Banking/Financial,NL,rabobank.com,443,HIGH,PUBLIC_WEBSITE
17,KBC Group,Banking/Financial,BE,kbc.be,443,HIGH,PUBLIC_WEBSITE
18,UniCredit,Banking/Financial,IT,unicreditgroup.eu,443,HIGH,PUBLIC_WEBSITE
19,Intesa Sanpaolo,Banking/Financial,IT,intesasanpaolo.com,443,HIGH,PUBLIC_WEBSITE
20,Danske Bank,Banking/Financial,DK,danskebank.com,443,HIGH,PUBLIC_WEBSITE
21,Nordea,Banking/Financial,FI,nordea.com,443,HIGH,PUBLIC_WEBSITE
22,SEB,Banking/Financial,SE,sebgroup.com,443,HIGH,PUBLIC_WEBSITE
23,Swedbank,Banking/Financial,SE,swedbank.com,443,HIGH,PUBLIC_WEBSITE
24,DNB,Banking/Financial,NO,dnb.no,443,HIGH,PUBLIC_WEBSITE
25,Handelsbanken,Banking/Financial,SE,handelsbanken.com,443,HIGH,PUBLIC_WEBSITE
26,Raiffeisen Bank International,Banking/Financial,AT,rbinternational.com,443,HIGH,PUBLIC_WEBSITE
27,PostFinance,Banking/Financial,CH,postfinance.ch,443,HIGH,PUBLIC_WEBSITE
28,Erste Group,Banking/Financial,AT,erstegroup.com,443,HIGH,PUBLIC_WEBSITE
29,OTP Bank,Banking/Financial,HU,otpbank.hu,443,HIGH,PUBLIC_WEBSITE
30,PKO Bank Polski,Banking/Financial,PL,pko.pl,443,HIGH,PUBLIC_WEBSITE
31,Alior Bank,Banking/Financial,PL,aliorbank.pl,443,HIGH,PUBLIC_WEBSITE
32,ČSOB,Banking/Financial,CZ,csob.cz,443,HIGH,PUBLIC_WEBSITE
